timestamp, system, entity , value (ntu)
1622104389.044, lauv-roald, SmartX, 2.800
1622104389.545, lauv-roald, SmartX, 2.800
1622104390.044, lauv-roald, SmartX, 2.800
1622104390.543, lauv-roald, SmartX, 2.400
1622104391.043, lauv-roald, SmartX, 3.400
1622104391.543, lauv-roald, SmartX, 3.000
1622104392.043, lauv-roald, SmartX, 3.000
1622104392.543, lauv-roald, SmartX, 2.800
1622104393.043, lauv-roald, SmartX, 2.600
1622104393.543, lauv-roald, SmartX, 2.600
1622104394.043, lauv-roald, SmartX, 3.200
1622104394.543, lauv-roald, SmartX, 3.000
1622104395.043, lauv-roald, SmartX, 2.600
1622104395.543, lauv-roald, SmartX, 2.600
1622104396.043, lauv-roald, SmartX, 2.800
1622104396.543, lauv-roald, SmartX, 2.600
1622104397.043, lauv-roald, SmartX, 2.600
1622104397.543, lauv-roald, SmartX, 3.000
1622104398.043, lauv-roald, SmartX, 3.800
1622104398.543, lauv-roald, SmartX, 3.000
1622104399.043, lauv-roald, SmartX, 2.800
1622104399.543, lauv-roald, SmartX, 3.000
1622104400.043, lauv-roald, SmartX, 2.800
1622104400.543, lauv-roald, SmartX, 3.000
1622104401.043, lauv-roald, SmartX, 3.400
1622104401.543, lauv-roald, SmartX, 3.200
1622104402.043, lauv-roald, SmartX, 2.800
1622104402.543, lauv-roald, SmartX, 2.400
1622104403.043, lauv-roald, SmartX, 2.200
1622104403.543, lauv-roald, SmartX, 2.600
1622104404.043, lauv-roald, SmartX, 3.000
1622104404.542, lauv-roald, SmartX, 2.600
1622104405.042, lauv-roald, SmartX, 2.400
1622104405.542, lauv-roald, SmartX, 2.600
1622104406.042, lauv-roald, SmartX, 2.400
1622104406.543, lauv-roald, SmartX, 2.400
1622104407.042, lauv-roald, SmartX, 2.600
1622104407.542, lauv-roald, SmartX, 3.400
1622104408.042, lauv-roald, SmartX, 3.200
1622104408.542, lauv-roald, SmartX, 3.200
1622104409.042, lauv-roald, SmartX, 3.200
1622104409.542, lauv-roald, SmartX, 2.800
1622104410.042, lauv-roald, SmartX, 3.400
1622104410.542, lauv-roald, SmartX, 2.600
1622104411.042, lauv-roald, SmartX, 2.600
1622104411.542, lauv-roald, SmartX, 2.800
1622104412.042, lauv-roald, SmartX, 2.600
1622104412.542, lauv-roald, SmartX, 3.000
1622104413.042, lauv-roald, SmartX, 2.400
1622104413.542, lauv-roald, SmartX, 2.400
1622104414.042, lauv-roald, SmartX, 2.400
1622104414.542, lauv-roald, SmartX, 2.800
1622104415.042, lauv-roald, SmartX, 3.200
1622104415.542, lauv-roald, SmartX, 3.200
1622104416.042, lauv-roald, SmartX, 3.000
1622104416.542, lauv-roald, SmartX, 3.200
1622104417.042, lauv-roald, SmartX, 2.600
1622104417.542, lauv-roald, SmartX, 2.600
1622104418.042, lauv-roald, SmartX, 2.400
1622104418.542, lauv-roald, SmartX, 2.600
1622104419.041, lauv-roald, SmartX, 3.000
1622104419.542, lauv-roald, SmartX, 2.800
1622104420.041, lauv-roald, SmartX, 2.600
1622104420.541, lauv-roald, SmartX, 2.600
1622104421.042, lauv-roald, SmartX, 2.400
1622104421.542, lauv-roald, SmartX, 2.200
1622104422.041, lauv-roald, SmartX, 2.600
1622104422.541, lauv-roald, SmartX, 2.400
1622104423.042, lauv-roald, SmartX, 2.600
1622104423.541, lauv-roald, SmartX, 2.400
1622104424.041, lauv-roald, SmartX, 2.400
1622104424.541, lauv-roald, SmartX, 2.200
1622104425.041, lauv-roald, SmartX, 2.200
1622104425.541, lauv-roald, SmartX, 2.400
1622104426.041, lauv-roald, SmartX, 2.400
1622104426.541, lauv-roald, SmartX, 2.400
1622104427.041, lauv-roald, SmartX, 2.400
1622104427.541, lauv-roald, SmartX, 2.400
1622104428.041, lauv-roald, SmartX, 2.600
1622104428.541, lauv-roald, SmartX, 2.200
1622104429.041, lauv-roald, SmartX, 2.400
1622104429.541, lauv-roald, SmartX, 2.600
1622104430.041, lauv-roald, SmartX, 2.600
1622104430.541, lauv-roald, SmartX, 2.600
1622104431.042, lauv-roald, SmartX, 2.600
1622104431.541, lauv-roald, SmartX, 2.600
1622104432.042, lauv-roald, SmartX, 2.600
1622104432.541, lauv-roald, SmartX, 2.800
1622104433.040, lauv-roald, SmartX, 2.600
1622104433.541, lauv-roald, SmartX, 2.800
1622104434.041, lauv-roald, SmartX, 2.600
1622104434.541, lauv-roald, SmartX, 2.600
1622104435.040, lauv-roald, SmartX, 2.400
1622104435.541, lauv-roald, SmartX, 2.600
1622104436.041, lauv-roald, SmartX, 2.600
1622104436.540, lauv-roald, SmartX, 2.400
1622104437.041, lauv-roald, SmartX, 2.400
1622104437.540, lauv-roald, SmartX, 2.600
1622104438.041, lauv-roald, SmartX, 2.600
1622104438.540, lauv-roald, SmartX, 2.800
1622104439.040, lauv-roald, SmartX, 2.600
1622104439.540, lauv-roald, SmartX, 3.400
1622104440.040, lauv-roald, SmartX, 2.800
1622104440.540, lauv-roald, SmartX, 2.800
1622104441.040, lauv-roald, SmartX, 2.600
1622104441.540, lauv-roald, SmartX, 2.400
1622104442.041, lauv-roald, SmartX, 3.200
1622104442.540, lauv-roald, SmartX, 2.600
1622104443.040, lauv-roald, SmartX, 2.800
1622104443.541, lauv-roald, SmartX, 2.600
1622104444.040, lauv-roald, SmartX, 2.200
1622104444.541, lauv-roald, SmartX, 2.600
1622104445.040, lauv-roald, SmartX, 2.600
