timestamp, system, entity , value (s/m)
1622104375.044, lauv-roald, SmartX, 2.943
1622104375.544, lauv-roald, SmartX, 2.847
1622104376.044, lauv-roald, SmartX, 2.554
1622104376.544, lauv-roald, SmartX, 2.435
1622104377.044, lauv-roald, SmartX, 2.561
1622104377.545, lauv-roald, SmartX, 2.725
1622104378.044, lauv-roald, SmartX, 2.852
1622104378.544, lauv-roald, SmartX, 2.944
1622104379.044, lauv-roald, SmartX, 2.909
1622104379.544, lauv-roald, SmartX, 2.751
1622104380.044, lauv-roald, SmartX, 2.772
1622104380.544, lauv-roald, SmartX, 2.912
1622104381.044, lauv-roald, SmartX, 2.989
1622104381.544, lauv-roald, SmartX, 2.980
1622104382.044, lauv-roald, SmartX, 2.662
1622104382.544, lauv-roald, SmartX, 2.464
1622104383.044, lauv-roald, SmartX, 2.440
1622104383.544, lauv-roald, SmartX, 2.679
1622104384.044, lauv-roald, SmartX, 2.887
1622104384.544, lauv-roald, SmartX, 2.964
1622104385.044, lauv-roald, SmartX, 2.984
1622104385.544, lauv-roald, SmartX, 2.948
1622104386.044, lauv-roald, SmartX, 2.736
1622104386.544, lauv-roald, SmartX, 2.513
1622104387.044, lauv-roald, SmartX, 2.423
1622104387.544, lauv-roald, SmartX, 2.378
1622104388.043, lauv-roald, SmartX, 2.441
1622104388.544, lauv-roald, SmartX, 2.727
1622104389.044, lauv-roald, SmartX, 2.813
1622104389.544, lauv-roald, SmartX, 2.727
1622104390.043, lauv-roald, SmartX, 2.623
1622104390.543, lauv-roald, SmartX, 2.769
1622104391.043, lauv-roald, SmartX, 2.860
1622104391.543, lauv-roald, SmartX, 2.889
1622104392.043, lauv-roald, SmartX, 2.896
1622104392.543, lauv-roald, SmartX, 2.704
1622104393.043, lauv-roald, SmartX, 2.549
1622104393.543, lauv-roald, SmartX, 2.600
1622104394.043, lauv-roald, SmartX, 2.752
1622104394.543, lauv-roald, SmartX, 2.923
1622104395.043, lauv-roald, SmartX, 2.901
1622104395.543, lauv-roald, SmartX, 2.599
1622104396.043, lauv-roald, SmartX, 2.354
1622104396.543, lauv-roald, SmartX, 2.305
1622104397.043, lauv-roald, SmartX, 2.553
1622104397.543, lauv-roald, SmartX, 2.775
1622104398.043, lauv-roald, SmartX, 2.868
1622104398.543, lauv-roald, SmartX, 2.871
1622104399.043, lauv-roald, SmartX, 2.748
1622104399.543, lauv-roald, SmartX, 2.720
1622104400.043, lauv-roald, SmartX, 2.785
1622104400.542, lauv-roald, SmartX, 2.907
1622104401.043, lauv-roald, SmartX, 2.988
1622104401.542, lauv-roald, SmartX, 2.972
1622104402.042, lauv-roald, SmartX, 2.803
1622104402.542, lauv-roald, SmartX, 2.571
1622104403.042, lauv-roald, SmartX, 2.584
1622104403.543, lauv-roald, SmartX, 2.802
1622104404.042, lauv-roald, SmartX, 2.825
1622104404.542, lauv-roald, SmartX, 2.707
1622104405.042, lauv-roald, SmartX, 2.549
1622104405.542, lauv-roald, SmartX, 2.510
1622104406.042, lauv-roald, SmartX, 2.361
1622104406.542, lauv-roald, SmartX, 2.318
1622104407.042, lauv-roald, SmartX, 2.544
1622104407.542, lauv-roald, SmartX, 2.804
1622104408.042, lauv-roald, SmartX, 2.912
1622104408.542, lauv-roald, SmartX, 2.939
1622104409.042, lauv-roald, SmartX, 2.906
1622104409.542, lauv-roald, SmartX, 2.684
1622104410.042, lauv-roald, SmartX, 2.368
1622104410.542, lauv-roald, SmartX, 2.287
1622104411.042, lauv-roald, SmartX, 2.303
1622104411.542, lauv-roald, SmartX, 2.711
1622104412.042, lauv-roald, SmartX, 2.856
1622104412.542, lauv-roald, SmartX, 2.805
1622104413.042, lauv-roald, SmartX, 2.413
1622104413.542, lauv-roald, SmartX, 2.310
1622104414.042, lauv-roald, SmartX, 2.279
1622104414.542, lauv-roald, SmartX, 2.492
1622104415.041, lauv-roald, SmartX, 2.703
1622104415.542, lauv-roald, SmartX, 2.865
1622104416.042, lauv-roald, SmartX, 2.893
1622104416.542, lauv-roald, SmartX, 2.845
1622104417.042, lauv-roald, SmartX, 2.458
1622104417.542, lauv-roald, SmartX, 2.361
1622104418.042, lauv-roald, SmartX, 2.437
1622104418.542, lauv-roald, SmartX, 2.751
1622104419.041, lauv-roald, SmartX, 2.856
1622104419.541, lauv-roald, SmartX, 2.576
1622104420.041, lauv-roald, SmartX, 2.418
1622104420.541, lauv-roald, SmartX, 2.291
