timestamp, system, entity , value (m)
1622104228.349, lauv-roald, DVL, 0.120
1622104228.554, lauv-roald, SmartX, 0.487
1622104228.745, lauv-roald, DVL, 0.093
1622104228.949, lauv-roald, DVL, 0.083
1622104229.054, lauv-roald, SmartX, 0.438
1622104229.147, lauv-roald, DVL, 0.076
1622104229.547, lauv-roald, DVL, 0.057
1622104229.554, lauv-roald, SmartX, 0.448
1622104229.749, lauv-roald, DVL, 0.071
1622104229.947, lauv-roald, DVL, 0.063
1622104230.054, lauv-roald, SmartX, 0.458
1622104230.346, lauv-roald, DVL, 0.060
1622104230.548, lauv-roald, DVL, 0.080
1622104230.554, lauv-roald, SmartX, 0.468
1622104230.746, lauv-roald, DVL, 0.065
1622104231.054, lauv-roald, SmartX, 0.478
1622104231.146, lauv-roald, DVL, 0.090
1622104231.346, lauv-roald, DVL, 0.065
1622104231.546, lauv-roald, DVL, 0.065
1622104231.554, lauv-roald, SmartX, 0.458
1622104231.949, lauv-roald, DVL, 0.050
1622104232.054, lauv-roald, SmartX, 0.438
1622104232.146, lauv-roald, DVL, 0.031
1622104232.344, lauv-roald, DVL, 0.042
1622104232.554, lauv-roald, SmartX, 0.438
1622104232.749, lauv-roald, DVL, 0.033
1622104232.948, lauv-roald, DVL, 0.039
1622104233.054, lauv-roald, SmartX, 0.418
1622104233.149, lauv-roald, DVL, 0.045
1622104233.547, lauv-roald, DVL, 0.039
1622104233.554, lauv-roald, SmartX, 0.438
1622104233.750, lauv-roald, DVL, 0.057
1622104233.945, lauv-roald, DVL, 0.054
1622104234.054, lauv-roald, SmartX, 0.458
1622104234.347, lauv-roald, DVL, 0.079
1622104234.548, lauv-roald, DVL, 0.083
1622104234.554, lauv-roald, SmartX, 0.507
1622104234.748, lauv-roald, DVL, 0.109
1622104235.054, lauv-roald, SmartX, 0.517
1622104235.147, lauv-roald, DVL, 0.110
1622104235.348, lauv-roald, DVL, 0.118
1622104235.548, lauv-roald, DVL, 0.108
1622104235.554, lauv-roald, SmartX, 0.497
1622104235.949, lauv-roald, DVL, 0.108
1622104236.054, lauv-roald, SmartX, 0.478
1622104236.147, lauv-roald, DVL, 0.092
1622104236.347, lauv-roald, DVL, 0.070
1622104236.554, lauv-roald, SmartX, 0.428
1622104236.747, lauv-roald, DVL, 0.044
1622104236.948, lauv-roald, DVL, 0.041
1622104237.054, lauv-roald, SmartX, 0.428
1622104237.146, lauv-roald, DVL, 0.046
1622104237.550, lauv-roald, DVL, 0.051
1622104237.554, lauv-roald, SmartX, 0.438
1622104237.749, lauv-roald, DVL, 0.063
1622104237.949, lauv-roald, DVL, 0.052
1622104238.054, lauv-roald, SmartX, 0.478
1622104238.350, lauv-roald, DVL, 0.073
1622104238.546, lauv-roald, DVL, 0.078
1622104238.554, lauv-roald, SmartX, 0.497
1622104238.748, lauv-roald, DVL, 0.085
1622104239.054, lauv-roald, SmartX, 0.487
1622104239.146, lauv-roald, DVL, 0.085
1622104239.348, lauv-roald, DVL, 0.077
1622104239.549, lauv-roald, DVL, 0.071
1622104239.554, lauv-roald, SmartX, 0.458
1622104239.948, lauv-roald, DVL, 0.047
1622104240.054, lauv-roald, SmartX, 0.428
1622104240.147, lauv-roald, DVL, 0.059
1622104240.347, lauv-roald, DVL, 0.040
1622104240.553, lauv-roald, SmartX, 0.448
1622104240.756, lauv-roald, DVL, 0.060
1622104240.948, lauv-roald, DVL, 0.045
1622104241.053, lauv-roald, SmartX, 0.438
1622104241.149, lauv-roald, DVL, 0.051
1622104241.546, lauv-roald, DVL, 0.035
1622104241.554, lauv-roald, SmartX, 0.388
1622104241.745, lauv-roald, DVL, 0.022
1622104241.949, lauv-roald, DVL, 0.016
1622104242.054, lauv-roald, SmartX, 0.388
1622104242.350, lauv-roald, DVL, 0.000
1622104242.550, lauv-roald, DVL, 0.015
1622104242.553, lauv-roald, SmartX, 0.388
1622104242.748, lauv-roald, DVL, 0.000
1622104243.053, lauv-roald, SmartX, 0.368
1622104243.149, lauv-roald, DVL, 0.001
1622104243.347, lauv-roald, DVL, 0.002
1622104243.548, lauv-roald, DVL, 0.010
1622104243.553, lauv-roald, SmartX, 0.378
1622104243.949, lauv-roald, DVL, 0.022
1622104244.053, lauv-roald, SmartX, 0.398
1622104244.147, lauv-roald, DVL, 0.006
1622104244.346, lauv-roald, DVL, 0.038
1622104244.553, lauv-roald, SmartX, 0.438
1622104244.748, lauv-roald, DVL, 0.048
1622104244.946, lauv-roald, DVL, 0.056
1622104245.053, lauv-roald, SmartX, 0.468
1622104245.148, lauv-roald, DVL, 0.064
1622104245.549, lauv-roald, DVL, 0.069
1622104245.553, lauv-roald, SmartX, 0.458
1622104245.745, lauv-roald, DVL, 0.082
1622104245.950, lauv-roald, DVL, 0.055
1622104246.053, lauv-roald, SmartX, 0.438
1622104246.345, lauv-roald, DVL, 0.034
1622104246.549, lauv-roald, DVL, 0.056
1622104246.553, lauv-roald, SmartX, 0.398
1622104246.748, lauv-roald, DVL, 0.026
1622104247.053, lauv-roald, SmartX, 0.378
1622104247.147, lauv-roald, DVL, 0.009
1622104247.346, lauv-roald, DVL, 0.000
1622104247.549, lauv-roald, DVL, 0.009
1622104247.553, lauv-roald, SmartX, 0.368
1622104247.946, lauv-roald, DVL, 0.012
1622104248.053, lauv-roald, SmartX, 0.408
1622104248.149, lauv-roald, DVL, 0.015
1622104248.347, lauv-roald, DVL, 0.023
1622104248.553, lauv-roald, SmartX, 0.428
1622104248.749, lauv-roald, DVL, 0.041
1622104248.947, lauv-roald, DVL, 0.045
1622104249.053, lauv-roald, SmartX, 0.448
1622104249.150, lauv-roald, DVL, 0.055
1622104249.545, lauv-roald, DVL, 0.078
1622104249.553, lauv-roald, SmartX, 0.448
1622104249.749, lauv-roald, DVL, 0.076
1622104249.947, lauv-roald, DVL, 0.076
1622104250.053, lauv-roald, SmartX, 0.418
1622104250.346, lauv-roald, DVL, 0.044
1622104250.546, lauv-roald, DVL, 0.052
1622104250.553, lauv-roald, SmartX, 0.408
1622104250.749, lauv-roald, DVL, 0.036
1622104251.053, lauv-roald, SmartX, 0.388
1622104251.149, lauv-roald, DVL, 0.020
1622104251.346, lauv-roald, DVL, 0.025
1622104251.548, lauv-roald, DVL, 0.007
1622104251.553, lauv-roald, SmartX, 0.378
1622104251.948, lauv-roald, DVL, 0.006
1622104252.053, lauv-roald, SmartX, 0.388
1622104252.150, lauv-roald, DVL, 0.011
1622104252.349, lauv-roald, DVL, 0.008
1622104252.553, lauv-roald, SmartX, 0.418
1622104252.749, lauv-roald, DVL, 0.034
1622104252.946, lauv-roald, DVL, 0.042
1622104253.053, lauv-roald, SmartX, 0.418
1622104253.149, lauv-roald, DVL, 0.043
1622104253.549, lauv-roald, DVL, 0.031
1622104253.553, lauv-roald, SmartX, 0.388
1622104253.743, lauv-roald, DVL, 0.015
1622104253.950, lauv-roald, DVL, 0.031
1622104254.053, lauv-roald, SmartX, 0.368
1622104254.346, lauv-roald, DVL, 0.031
1622104254.547, lauv-roald, DVL, 0.017
1622104254.553, lauv-roald, SmartX, 0.408
1622104254.749, lauv-roald, DVL, 0.042
1622104255.053, lauv-roald, SmartX, 0.448
1622104255.147, lauv-roald, DVL, 0.054
1622104255.353, lauv-roald, DVL, 0.061
1622104255.546, lauv-roald, DVL, 0.070
1622104255.553, lauv-roald, SmartX, 0.478
1622104255.949, lauv-roald, DVL, 0.080
1622104256.052, lauv-roald, SmartX, 0.478
1622104256.149, lauv-roald, DVL, 0.095
