timestamp, system, entity , value (m)
1623928919.255, lauv-roald, DVL, 0.022
1623928919.453, lauv-roald, DVL, 0.044
1623928919.604, lauv-roald, SmartX, 0.438
1623928919.651, lauv-roald, DVL, 0.044
1623928920.052, lauv-roald, DVL, 0.046
1623928920.104, lauv-roald, SmartX, 0.448
1623928920.251, lauv-roald, DVL, 0.042
1623928920.452, lauv-roald, DVL, 0.041
1623928920.604, lauv-roald, SmartX, 0.428
1623928920.851, lauv-roald, DVL, 0.050
1623928921.052, lauv-roald, DVL, 0.058
1623928921.105, lauv-roald, SmartX, 0.448
1623928921.252, lauv-roald, DVL, 0.063
1623928921.605, lauv-roald, SmartX, 0.438
1623928921.652, lauv-roald, DVL, 0.081
1623928921.853, lauv-roald, DVL, 0.058
1623928922.055, lauv-roald, DVL, 0.060
1623928922.105, lauv-roald, SmartX, 0.438
1623928922.452, lauv-roald, DVL, 0.072
1623928922.606, lauv-roald, SmartX, 0.418
1623928922.654, lauv-roald, DVL, 0.068
1623928922.851, lauv-roald, DVL, 0.057
1623928923.106, lauv-roald, SmartX, 0.398
1623928923.253, lauv-roald, DVL, 0.056
1623928923.451, lauv-roald, DVL, 0.069
1623928923.605, lauv-roald, SmartX, 0.418
1623928923.651, lauv-roald, DVL, 0.069
1623928924.052, lauv-roald, DVL, 0.061
1623928924.105, lauv-roald, SmartX, 0.438
1623928924.252, lauv-roald, DVL, 0.078
1623928924.451, lauv-roald, DVL, 0.100
1623928924.605, lauv-roald, SmartX, 0.438
1623928924.850, lauv-roald, DVL, 0.092
1623928925.052, lauv-roald, DVL, 0.108
1623928925.106, lauv-roald, SmartX, 0.487
1623928925.253, lauv-roald, DVL, 0.123
1623928925.605, lauv-roald, SmartX, 0.487
1623928925.655, lauv-roald, DVL, 0.117
1623928925.854, lauv-roald, DVL, 0.115
1623928926.053, lauv-roald, DVL, 0.138
1623928926.104, lauv-roald, SmartX, 0.478
1623928926.453, lauv-roald, DVL, 0.109
1623928926.604, lauv-roald, SmartX, 0.438
1623928926.652, lauv-roald, DVL, 0.111
1623928926.850, lauv-roald, DVL, 0.102
1623928927.104, lauv-roald, SmartX, 0.398
1623928927.255, lauv-roald, DVL, 0.061
1623928927.454, lauv-roald, DVL, 0.056
1623928927.604, lauv-roald, SmartX, 0.338
1623928927.650, lauv-roald, DVL, 0.046
1623928928.052, lauv-roald, DVL, 0.005
1623928928.104, lauv-roald, SmartX, 0.348
1623928928.252, lauv-roald, DVL, 0.007
1623928928.453, lauv-roald, DVL, 0.005
1623928928.604, lauv-roald, SmartX, 0.328
1623928928.851, lauv-roald, DVL, 0.000
1623928929.052, lauv-roald, DVL, 0.000
1623928929.104, lauv-roald, SmartX, 0.358
1623928929.253, lauv-roald, DVL, 0.004
1623928929.603, lauv-roald, SmartX, 0.368
1623928929.654, lauv-roald, DVL, 0.020
1623928929.851, lauv-roald, DVL, 0.029
1623928930.054, lauv-roald, DVL, 0.027
1623928930.103, lauv-roald, SmartX, 0.408
1623928930.452, lauv-roald, DVL, 0.058
1623928930.604, lauv-roald, SmartX, 0.398
1623928930.652, lauv-roald, DVL, 0.049
1623928930.854, lauv-roald, DVL, 0.042
1623928931.104, lauv-roald, SmartX, 0.408
1623928931.253, lauv-roald, DVL, 0.057
1623928931.451, lauv-roald, DVL, 0.033
1623928931.604, lauv-roald, SmartX, 0.348
1623928931.651, lauv-roald, DVL, 0.039
1623928932.052, lauv-roald, DVL, 0.004
1623928932.104, lauv-roald, SmartX, 0.338
1623928932.252, lauv-roald, DVL, 0.002
1623928932.454, lauv-roald, DVL, 0.002
1623928932.603, lauv-roald, SmartX, 0.298
1623928932.852, lauv-roald, DVL, 0.000
1623928933.053, lauv-roald, DVL, 0.000
1623928933.103, lauv-roald, SmartX, 0.338
1623928933.252, lauv-roald, DVL, 0.000
1623928933.603, lauv-roald, SmartX, 0.318
1623928933.651, lauv-roald, DVL, 0.000
1623928933.855, lauv-roald, DVL, 0.000
1623928934.052, lauv-roald, DVL, 0.000
1623928934.103, lauv-roald, SmartX, 0.358
1623928934.451, lauv-roald, DVL, 0.023
1623928934.603, lauv-roald, SmartX, 0.368
1623928934.652, lauv-roald, DVL, 0.011
1623928934.851, lauv-roald, DVL, 0.007
1623928935.103, lauv-roald, SmartX, 0.398
1623928935.252, lauv-roald, DVL, 0.017
1623928935.452, lauv-roald, DVL, 0.029
