timestamp, system, entity , value (m)
1625574524.861, lauv-roald, DVL, 0.180
1625574524.899, lauv-roald, SmartX, 0.418
1625574525.261, lauv-roald, DVL, 0.037
1625574525.398, lauv-roald, SmartX, 0.119
1625574525.464, lauv-roald, DVL, 0.000
1625574525.663, lauv-roald, DVL, 0.000
1625574525.898, lauv-roald, SmartX, 0.279
1625574526.059, lauv-roald, DVL, 0.000
1625574526.261, lauv-roald, DVL, 0.000
1625574526.398, lauv-roald, SmartX, 0.239
1625574526.461, lauv-roald, DVL, 0.000
1625574526.862, lauv-roald, DVL, 0.004
1625574526.898, lauv-roald, SmartX, 0.289
1625574527.063, lauv-roald, DVL, 0.015
1625574527.263, lauv-roald, DVL, 0.038
1625574527.398, lauv-roald, SmartX, 0.358
1625574527.662, lauv-roald, DVL, 0.100
1625574527.863, lauv-roald, DVL, 0.144
1625574527.898, lauv-roald, SmartX, 0.458
1625574528.065, lauv-roald, DVL, 0.173
1625574528.398, lauv-roald, SmartX, 0.557
1625574528.465, lauv-roald, DVL, 0.236
1625574528.663, lauv-roald, DVL, 0.258
1625574528.864, lauv-roald, DVL, 0.243
1625574528.898, lauv-roald, SmartX, 0.577
1625574529.261, lauv-roald, DVL, 0.257
1625574529.399, lauv-roald, SmartX, 0.557
1625574529.463, lauv-roald, DVL, 0.252
1625574529.664, lauv-roald, DVL, 0.210
1625574529.899, lauv-roald, SmartX, 0.448
1625574530.063, lauv-roald, DVL, 0.148
1625574530.266, lauv-roald, DVL, 0.119
1625574530.398, lauv-roald, SmartX, 0.348
1625574530.463, lauv-roald, DVL, 0.078
1625574530.864, lauv-roald, DVL, 0.036
1625574530.898, lauv-roald, SmartX, 0.338
1625574531.065, lauv-roald, DVL, 0.029
1625574531.263, lauv-roald, DVL, 0.018
1625574531.398, lauv-roald, SmartX, 0.358
1625574531.664, lauv-roald, DVL, 0.036
1625574531.863, lauv-roald, DVL, 0.034
1625574531.898, lauv-roald, SmartX, 0.328
1625574532.062, lauv-roald, DVL, 0.009
1625574532.398, lauv-roald, SmartX, 0.328
1625574532.460, lauv-roald, DVL, 0.000
1625574532.659, lauv-roald, DVL, 0.000
1625574532.862, lauv-roald, DVL, 0.000
1625574532.897, lauv-roald, SmartX, 0.289
1625574533.262, lauv-roald, DVL, 0.000
1625574533.398, lauv-roald, SmartX, 0.269
1625574533.462, lauv-roald, DVL, 0.000
1625574533.664, lauv-roald, DVL, 0.000
1625574533.898, lauv-roald, SmartX, 0.269
1625574534.060, lauv-roald, DVL, 0.000
1625574534.262, lauv-roald, DVL, 0.000
1625574534.398, lauv-roald, SmartX, 0.259
1625574534.463, lauv-roald, DVL, 0.000
1625574534.859, lauv-roald, DVL, 0.000
1625574534.897, lauv-roald, SmartX, 0.289
1625574535.063, lauv-roald, DVL, 0.000
1625574535.261, lauv-roald, DVL, 0.030
1625574535.398, lauv-roald, SmartX, 0.368
1625574535.663, lauv-roald, DVL, 0.090
1625574535.863, lauv-roald, DVL, 0.127
1625574535.898, lauv-roald, SmartX, 0.478
1625574536.061, lauv-roald, DVL, 0.163
1625574536.398, lauv-roald, SmartX, 0.627
1625574536.462, lauv-roald, DVL, 0.266
1625574536.662, lauv-roald, DVL, 0.295
1625574536.861, lauv-roald, DVL, 0.315
1625574536.897, lauv-roald, SmartX, 0.736
1625574537.266, lauv-roald, DVL, 0.359
1625574537.398, lauv-roald, SmartX, 0.667
1625574537.465, lauv-roald, DVL, 0.366
1625574537.664, lauv-roald, DVL, 0.329
1625574537.898, lauv-roald, SmartX, 0.537
1625574538.062, lauv-roald, DVL, 0.261
1625574538.263, lauv-roald, DVL, 0.202
1625574538.398, lauv-roald, SmartX, 0.378
1625574538.464, lauv-roald, DVL, 0.135
1625574538.859, lauv-roald, DVL, 0.063
1625574538.897, lauv-roald, SmartX, 0.338
1625574539.060, lauv-roald, DVL, 0.035
1625574539.247, lauv-roald, DVL, 0.044
1625574539.397, lauv-roald, SmartX, 0.348
1625574539.664, lauv-roald, DVL, 0.031
1625574539.862, lauv-roald, DVL, 0.049
1625574539.897, lauv-roald, SmartX, 0.418
1625574540.063, lauv-roald, DVL, 0.055
1625574540.397, lauv-roald, SmartX, 0.348
1625574540.463, lauv-roald, DVL, 0.020
1625574540.664, lauv-roald, DVL, 0.029
1625574540.863, lauv-roald, DVL, 0.000
1625574540.897, lauv-roald, SmartX, 0.279
1625574541.264, lauv-roald, DVL, 0.000
1625574541.397, lauv-roald, SmartX, 0.159
1625574541.464, lauv-roald, DVL, 0.000
1625574541.664, lauv-roald, DVL, 0.000
1625574541.897, lauv-roald, SmartX, 0.209
1625574542.061, lauv-roald, DVL, 0.001
1625574542.261, lauv-roald, DVL, 0.008
1625574542.397, lauv-roald, SmartX, 0.289
1625574542.462, lauv-roald, DVL, 0.019
1625574542.863, lauv-roald, DVL, 0.028
1625574542.897, lauv-roald, SmartX, 0.308
1625574543.063, lauv-roald, DVL, 0.069
1625574543.264, lauv-roald, DVL, 0.057
1625574543.397, lauv-roald, SmartX, 0.378
1625574543.665, lauv-roald, DVL, 0.104
1625574543.864, lauv-roald, DVL, 0.090
