timestamp, system, entity , value (m/s)
1625574519.039, lauv-roald, DVL, 1498.925
1625574519.248, lauv-roald, DVL, 1498.834
1625574519.399, lauv-roald, SmartX, 1489.570
1625574519.663, lauv-roald, DVL, 1498.667
1625574519.861, lauv-roald, DVL, 1498.606
1625574519.899, lauv-roald, SmartX, 1490.950
1625574520.060, lauv-roald, DVL, 1498.507
1625574520.399, lauv-roald, SmartX, 1490.450
1625574520.458, lauv-roald, DVL, 1498.361
1625574520.654, lauv-roald, DVL, 1498.308
1625574520.832, lauv-roald, DVL, 1498.244
1625574520.899, lauv-roald, SmartX, 1489.870
1625574521.248, lauv-roald, DVL, 1498.201
1625574521.399, lauv-roald, SmartX, 1488.900
1625574521.448, lauv-roald, DVL, 1498.217
1625574521.646, lauv-roald, DVL, 1498.240
1625574521.898, lauv-roald, SmartX, 1487.940
1625574522.063, lauv-roald, DVL, 1498.353
1625574522.262, lauv-roald, DVL, 1498.438
1625574522.399, lauv-roald, SmartX, 1487.620
1625574522.463, lauv-roald, DVL, 1498.539
1625574522.861, lauv-roald, DVL, 1498.675
1625574522.898, lauv-roald, SmartX, 1487.520
1625574523.064, lauv-roald, DVL, 1498.743
1625574523.261, lauv-roald, DVL, 1498.763
1625574523.399, lauv-roald, SmartX, 1488.120
1625574523.655, lauv-roald, DVL, 1498.772
1625574523.852, lauv-roald, DVL, 1498.756
1625574523.899, lauv-roald, SmartX, 1489.390
1625574524.064, lauv-roald, DVL, 1498.720
1625574524.399, lauv-roald, SmartX, 1490.120
1625574524.465, lauv-roald, DVL, 1498.590
1625574524.662, lauv-roald, DVL, 1498.537
1625574524.861, lauv-roald, DVL, 1498.451
1625574524.899, lauv-roald, SmartX, 1489.420
1625574525.261, lauv-roald, DVL, 1498.320
1625574525.398, lauv-roald, SmartX, 1487.520
1625574525.464, lauv-roald, DVL, 1498.323
1625574525.663, lauv-roald, DVL, 1498.348
1625574525.898, lauv-roald, SmartX, 1486.070
1625574526.059, lauv-roald, DVL, 1498.678
1625574526.261, lauv-roald, DVL, 1498.941
1625574526.398, lauv-roald, SmartX, 1485.130
1625574526.461, lauv-roald, DVL, 1499.219
1625574526.862, lauv-roald, DVL, 1499.652
1625574526.898, lauv-roald, SmartX, 1483.470
1625574527.063, lauv-roald, DVL, 1499.812
1625574527.263, lauv-roald, DVL, 1499.931
1625574527.398, lauv-roald, SmartX, 1482.780
1625574527.662, lauv-roald, DVL, 1500.049
1625574527.863, lauv-roald, DVL, 1500.026
1625574527.898, lauv-roald, SmartX, 1482.990
1625574528.065, lauv-roald, DVL, 1499.993
1625574528.398, lauv-roald, SmartX, 1483.990
1625574528.465, lauv-roald, DVL, 1499.845
1625574528.663, lauv-roald, DVL, 1499.751
1625574528.864, lauv-roald, DVL, 1499.641
1625574528.899, lauv-roald, SmartX, 1486.760
1625574529.261, lauv-roald, DVL, 1499.360
1625574529.399, lauv-roald, SmartX, 1489.830
1625574529.463, lauv-roald, DVL, 1499.268
1625574529.664, lauv-roald, DVL, 1499.144
1625574529.899, lauv-roald, SmartX, 1489.990
1625574530.063, lauv-roald, DVL, 1498.882
1625574530.266, lauv-roald, DVL, 1498.741
1625574530.398, lauv-roald, SmartX, 1489.260
1625574530.463, lauv-roald, DVL, 1498.654
1625574530.864, lauv-roald, DVL, 1498.513
1625574530.898, lauv-roald, SmartX, 1488.230
1625574531.065, lauv-roald, DVL, 1498.523
1625574531.263, lauv-roald, DVL, 1498.539
1625574531.398, lauv-roald, SmartX, 1488.160
1625574531.664, lauv-roald, DVL, 1498.648
1625574531.863, lauv-roald, DVL, 1498.680
1625574531.898, lauv-roald, SmartX, 1489.180
1625574532.062, lauv-roald, DVL, 1498.712
1625574532.398, lauv-roald, SmartX, 1488.700
1625574532.460, lauv-roald, DVL, 1498.711
1625574532.659, lauv-roald, DVL, 1498.716
1625574532.862, lauv-roald, DVL, 1498.723
1625574532.898, lauv-roald, SmartX, 1488.140
1625574533.262, lauv-roald, DVL, 1498.751
1625574533.398, lauv-roald, SmartX, 1486.810
1625574533.462, lauv-roald, DVL, 1498.812
1625574533.664, lauv-roald, DVL, 1498.873
1625574533.898, lauv-roald, SmartX, 1485.800
1625574534.060, lauv-roald, DVL, 1499.073
1625574534.262, lauv-roald, DVL, 1499.181
1625574534.398, lauv-roald, SmartX, 1484.480
1625574534.463, lauv-roald, DVL, 1499.310
1625574534.859, lauv-roald, DVL, 1499.575
1625574534.897, lauv-roald, SmartX, 1483.910
1625574535.063, lauv-roald, DVL, 1499.702
1625574535.261, lauv-roald, DVL, 1499.784
1625574535.398, lauv-roald, SmartX, 1483.730
1625574535.663, lauv-roald, DVL, 1500.010
1625574535.863, lauv-roald, DVL, 1500.044
1625574535.898, lauv-roald, SmartX, 1484.060
1625574536.061, lauv-roald, DVL, 1500.075
1625574536.398, lauv-roald, SmartX, 1485.370
1625574536.462, lauv-roald, DVL, 1499.995
1625574536.662, lauv-roald, DVL, 1499.926
1625574536.861, lauv-roald, DVL, 1499.841
1625574536.897, lauv-roald, SmartX, 1487.020
1625574537.266, lauv-roald, DVL, 1499.677
1625574537.398, lauv-roald, SmartX, 1489.050
1625574537.465, lauv-roald, DVL, 1499.625
1625574537.664, lauv-roald, DVL, 1499.517
1625574537.898, lauv-roald, SmartX, 1489.630
1625574538.062, lauv-roald, DVL, 1499.276
1625574538.263, lauv-roald, DVL, 1499.150
1625574538.398, lauv-roald, SmartX, 1489.970
1625574538.464, lauv-roald, DVL, 1499.063
1625574538.859, lauv-roald, DVL, 1498.933
1625574538.897, lauv-roald, SmartX, 1489.430
1625574539.060, lauv-roald, DVL, 1498.893
1625574539.247, lauv-roald, DVL, 1498.846
1625574539.397, lauv-roald, SmartX, 1488.380
1625574539.664, lauv-roald, DVL, 1498.805
1625574539.862, lauv-roald, DVL, 1498.838
1625574539.897, lauv-roald, SmartX, 1486.890
1625574540.063, lauv-roald, DVL, 1498.894
1625574540.397, lauv-roald, SmartX, 1486.890
1625574540.463, lauv-roald, DVL, 1498.991
1625574540.664, lauv-roald, DVL, 1499.063
1625574540.863, lauv-roald, DVL, 1499.106
1625574540.897, lauv-roald, SmartX, 1485.500
1625574541.264, lauv-roald, DVL, 1499.223
1625574541.397, lauv-roald, SmartX, 1484.400
1625574541.464, lauv-roald, DVL, 1499.310
1625574541.664, lauv-roald, DVL, 1499.388
1625574541.897, lauv-roald, SmartX, 1484.200
1625574542.061, lauv-roald, DVL, 1499.585
1625574542.261, lauv-roald, DVL, 1499.658
1625574542.397, lauv-roald, SmartX, 1483.940
1625574542.462, lauv-roald, DVL, 1499.704
1625574542.863, lauv-roald, DVL, 1499.744
1625574542.897, lauv-roald, SmartX, 1484.060
1625574543.063, lauv-roald, DVL, 1499.755
1625574543.264, lauv-roald, DVL, 1499.703
1625574543.397, lauv-roald, SmartX, 1484.760
1625574543.665, lauv-roald, DVL, 1499.599
1625574543.864, lauv-roald, DVL, 1499.568
1625574543.897, lauv-roald, SmartX, 1485.100
1625574544.065, lauv-roald, DVL, 1499.520
1625574544.397, lauv-roald, SmartX, 1486.540
1625574544.463, lauv-roald, DVL, 1499.371
1625574544.662, lauv-roald, DVL, 1499.298
1625574544.865, lauv-roald, DVL, 1499.220
1625574544.897, lauv-roald, SmartX, 1487.700
1625574545.265, lauv-roald, DVL, 1499.062
1625574545.397, lauv-roald, SmartX, 1487.630
1625574545.466, lauv-roald, DVL, 1499.046
1625574545.665, lauv-roald, DVL, 1498.997
1625574545.897, lauv-roald, SmartX, 1486.610
1625574546.064, lauv-roald, DVL, 1498.975
1625574546.266, lauv-roald, DVL, 1498.992
1625574546.398, lauv-roald, SmartX, 1485.820
1625574546.462, lauv-roald, DVL, 1499.021
1625574546.864, lauv-roald, DVL, 1499.099
1625574546.897, lauv-roald, SmartX, 1485.570
1625574547.063, lauv-roald, DVL, 1499.174
1625574547.263, lauv-roald, DVL, 1499.221
1625574547.397, lauv-roald, SmartX, 1486.220
1625574547.664, lauv-roald, DVL, 1499.328
1625574547.864, lauv-roald, DVL, 1499.360
1625574547.897, lauv-roald, SmartX, 1487.630
1625574548.062, lauv-roald, DVL, 1499.368
1625574548.397, lauv-roald, SmartX, 1489.100
1625574548.463, lauv-roald, DVL, 1499.311
1625574548.666, lauv-roald, DVL, 1499.253
1625574548.862, lauv-roald, DVL, 1499.178
1625574548.897, lauv-roald, SmartX, 1490.380
1625574549.265, lauv-roald, DVL, 1498.967
1625574549.397, lauv-roald, SmartX, 1490.090
1625574549.460, lauv-roald, DVL, 1498.864
1625574549.664, lauv-roald, DVL, 1498.770
1625574549.897, lauv-roald, SmartX, 1488.210
1625574550.063, lauv-roald, DVL, 1498.581
1625574550.263, lauv-roald, DVL, 1498.525
1625574550.397, lauv-roald, SmartX, 1486.870
1625574550.464, lauv-roald, DVL, 1498.518
1625574550.862, lauv-roald, DVL, 1498.594
1625574550.896, lauv-roald, SmartX, 1485.850
1625574551.063, lauv-roald, DVL, 1498.655
1625574551.262, lauv-roald, DVL, 1498.746
1625574551.397, lauv-roald, SmartX, 1485.340
1625574551.665, lauv-roald, DVL, 1498.962
1625574551.863, lauv-roald, DVL, 1499.031
1625574551.897, lauv-roald, SmartX, 1486.970
1625574552.065, lauv-roald, DVL, 1499.106
1625574552.397, lauv-roald, SmartX, 1489.310
1625574552.465, lauv-roald, DVL, 1499.118
1625574552.664, lauv-roald, DVL, 1499.074
1625574552.865, lauv-roald, DVL, 1499.028
1625574552.897, lauv-roald, SmartX, 1491.230
1625574553.265, lauv-roald, DVL, 1498.849
1625574553.397, lauv-roald, SmartX, 1491.250
1625574553.465, lauv-roald, DVL, 1498.751
1625574553.662, lauv-roald, DVL, 1498.641
1625574553.897, lauv-roald, SmartX, 1490.270
1625574554.066, lauv-roald, DVL, 1498.401
