timestamp, system, entity , validity (bitfield), x (m/s), y (m/s), z (m/s)
1625574517.263, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.37045228, -0.43421853, -0.11721171
1625574517.466, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.37624025, -0.34619960, -0.12111036
1625574517.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.37718046, -0.31097344, -0.04796780
1625574518.064, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.36930120, -0.22872172, 0.11992531
1625574518.258, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.30988669, -0.20368697, 0.14964677
1625574518.443, lauv-roald, DVL, , 1.29825020, -0.21168882, 0.14990963
1625574518.848, lauv-roald, DVL, , 1.21935534, -0.21148340, 0.01728403
1625574519.041, lauv-roald, DVL, , 1.21446288, -0.15454322, 0.01412900
1625574519.250, lauv-roald, DVL, , 1.22538531, -0.08904630, 0.00532117
1625574519.665, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.35138321, -0.09288400, -0.06326337
1625574519.862, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.40913200, -0.16812405, -0.10191001
1625574520.063, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.41436136, -0.16918802, -0.12437216
1625574520.461, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.51419199, -0.21561551, -0.10895276
1625574520.656, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.47724307, -0.22969815, -0.09100584
1625574520.833, lauv-roald, DVL, , 1.51866853, -0.12741503, -0.11275845
1625574521.249, lauv-roald, DVL, , 1.53996599, -0.01794666, -0.13647801
1625574521.450, lauv-roald, DVL, , 1.48951066, -0.04081860, -0.09255238
1625574521.648, lauv-roald, DVL, , 1.45424247, -0.08445838, -0.05366585
1625574522.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.40214014, -0.09970382, 0.03808148
1625574522.264, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.37868583, -0.04450881, 0.06287630
1625574522.465, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.36628807, 0.01369804, 0.09955465
1625574522.863, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.32856560, 0.08404839, 0.11448444
1625574523.066, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.24608624, 0.12274122, 0.09527989
1625574523.263, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.23760557, 0.06096314, 0.10665368
1625574523.657, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.17960346, 0.01258892, 0.06596877
1625574523.854, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.22231603, 0.07117280, -0.00900634
1625574524.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.26517785, 0.02345255, -0.05772855
1625574524.467, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.42107522, -0.06547838, -0.17630523
1625574524.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.50591350, -0.06605762, -0.23166803
1625574524.863, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.61371529, -0.03816909, -0.26168677
1625574525.263, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.77514815, 0.07706201, -0.29945303
