timestamp, system, entity , value (s/m)
1625574619.892, lauv-roald, SmartX, 2.047
1625574620.392, lauv-roald, SmartX, 1.745
1625574620.892, lauv-roald, SmartX, 1.550
1625574621.392, lauv-roald, SmartX, 1.364
1625574621.892, lauv-roald, SmartX, 1.277
1625574622.391, lauv-roald, SmartX, 1.300
1625574622.892, lauv-roald, SmartX, 1.352
1625574623.391, lauv-roald, SmartX, 1.315
1625574623.891, lauv-roald, SmartX, 1.241
1625574624.391, lauv-roald, SmartX, 1.253
1625574624.891, lauv-roald, SmartX, 1.300
1625574625.391, lauv-roald, SmartX, 1.378
1625574625.891, lauv-roald, SmartX, 1.529
1625574626.391, lauv-roald, SmartX, 1.572
1625574626.891, lauv-roald, SmartX, 1.496
1625574627.391, lauv-roald, SmartX, 1.411
1625574627.891, lauv-roald, SmartX, 1.404
1625574628.391, lauv-roald, SmartX, 1.421
1625574628.891, lauv-roald, SmartX, 1.475
1625574629.391, lauv-roald, SmartX, 1.571
1625574629.891, lauv-roald, SmartX, 1.647
1625574630.391, lauv-roald, SmartX, 1.740
1625574630.891, lauv-roald, SmartX, 1.710
1625574631.391, lauv-roald, SmartX, 1.656
1625574631.891, lauv-roald, SmartX, 1.609
1625574632.391, lauv-roald, SmartX, 1.642
1625574632.891, lauv-roald, SmartX, 1.662
1625574633.390, lauv-roald, SmartX, 1.670
1625574633.891, lauv-roald, SmartX, 1.691
1625574634.391, lauv-roald, SmartX, 1.706
1625574634.891, lauv-roald, SmartX, 1.721
1625574635.391, lauv-roald, SmartX, 1.769
1625574635.891, lauv-roald, SmartX, 1.731
1625574636.391, lauv-roald, SmartX, 1.669
1625574636.891, lauv-roald, SmartX, 1.412
1625574637.391, lauv-roald, SmartX, 1.226
1625574637.890, lauv-roald, SmartX, 1.191
1625574638.390, lauv-roald, SmartX, 1.329
1625574638.890, lauv-roald, SmartX, 1.499
1625574639.390, lauv-roald, SmartX, 1.732
1625574639.890, lauv-roald, SmartX, 1.959
